Date,Price
06/04/2024,"2,367.00"
06/03/2024,"2,370.90"
06/02/2024,"2,346.10"
05/31/2024,"2,345.80"
05/30/2024,"2,366.50"
05/29/2024,"2,352.00"
05/28/2024,"2,367.30"
05/27/2024,"2,356.50"
05/24/2024,"2,345.40"
05/23/2024,"2,348.20"
05/22/2024,"2,403.70"
05/21/2024,"2,436.90"
05/20/2024,"2,449.50"
05/17/2024,"2,428.60"
05/16/2024,"2,396.40"
05/15/2024,"2,405.80"
05/14/2024,"2,370.60"
05/13/2024,"2,353.80"
05/10/2024,"2,375.00"
05/09/2024,"2,340.30"
05/08/2024,"2,322.30"
05/07/2024,"2,324.20"
05/06/2024,"2,331.20"
